ConversionID,ItemID,FromUOM,PackageIdentity,SupplierRef,ToUOM,Numerator,Denominator,EffectiveFrom,EffectiveTo,EvidenceType,EvidenceRef,EvidenceDate,PreparedBy,PreparedAt,ReviewedBy,ReviewedAt,ApprovalStatus,ApprovalNote,IsActive,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
CONV-ATT-ING-004-V01,ING-004,bag,ING-004|INTERNAL-SHOPEE-CHANNEL|Bean Ar 100%|NO-SKU|plastic bag 1 kg|V01,INTERNAL-SHOPEE-CHANNEL,gr,1000,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1Ap8E3MszGhPq7_FZOPIYRmGKjSWskW5G:V01:SHA256:bb32a968439a6c9a9c2e5415c286fb60484b8cfd13888a7d3329be9dede23658,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_PACKAGE_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-015-V01,ING-015,bag,ING-015|INTERNAL-SHOPEE-CHANNEL|Powder Choco|NO-SKU|zipper bag 500 gr|V01,INTERNAL-SHOPEE-CHANNEL,gr,500,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1gby72WzDA0TttZEe3dy7ud9jY_-tvvd5:V01:SHA256:a1385bb71d8d1e6e959d4993e1154c6161ad2bb68800e927b6a3f1ca1bd840e7,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_PACKAGE_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-016-V01,ING-016,bag,ING-016|INTERNAL-SHOPEE-CHANNEL|Powder Matcha|NO-SKU|zipper bag 100 gr|V01,INTERNAL-SHOPEE-CHANNEL,gr,100,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1p04n7CX_j-vGUfTFfGnU7vBPqgDqAHTZ:V01:SHA256:c1a4e1160478ff4d207fe9dc8ff5b108d38dc378176e91d5bb99cfd2e182fb99,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_PACKAGE_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-017-V01,ING-017,bottle,ING-017|INTERNAL-SHOPEE-CHANNEL|Sirup|NO-SKU|750 ml syrup bottle|V01,INTERNAL-SHOPEE-CHANNEL,ml,750,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1p0cNXzgrLyEQTg8_pFHjhiJyg7nGmqXV:V01:SHA256:244e43c08744ee32d59fc06dc6689d33ebf63f35e964533c207918e6d7c662bc,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_PACKAGE_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-019-V01,ING-019,carton,ING-019|INTERNAL-KELONTONG|Soda|NO-SKU|carton 24 x 250 ml bottles|V01,INTERNAL-KELONTONG,ml,6000,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1P0Va7oQdFOheUOS-jX6OJUJi7owVTmzI:V01:SHA256:ccf259c6d30f92ce883a89d999658d5d1b660e0a98b7fad41d56b06d641c1668,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_CONTENT_COUNT_AND_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-020-V01,ING-020,bag,ING-020|INTERNAL-KELONTONG|Gula|NO-SKU|plastic bag 1 kg|V01,INTERNAL-KELONTONG,gr,1000,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1QDDzoXP3hspf7y0ZEd3uTIMfAhaLvfXi:V01:SHA256:2a0efdabb836160b2da3e9d15d3d34d45b7768183ac23c8c5757c92f5074951f,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_PACKAGE_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-021-V01,ING-021,pack,ING-021|SUP-HAKAES|Es|NO-SKU|standardized plastic pack 10 kg|V01,SUP-HAKAES,gr,10000,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1i-9-BTklC4zoOp0zSBO6gKPBFIKTt144:V01:SHA256:c7419e2712ad8c1f023982ab81ff34e3dcae1db820af6ea595e48ec56ddc36fc,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_STANDARDIZED_PACKAGE_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_MODERATE; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-031-V01,ING-031,box,ING-031|INTERNAL-SHOPEE-CHANNEL|Spt Filter|NO-SKU|box 40 filter sheets|V01,INTERNAL-SHOPEE-CHANNEL,pcs,40,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:19vpk8hzFcv982QPaGxlTq80EP44xrCGI:V01:SHA256:7cfd078b205e77f634143c5fdf01b75532af45e5b9b19e3e2414f8343cffc470,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_CONTENT_COUNT_AND_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-032-V01,ING-032,pack,ING-032|INTERNAL-SHOPEE-CHANNEL|Spt Cup|NO-SKU|pack 25 cups|V01,INTERNAL-SHOPEE-CHANNEL,pcs,25,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1u6Qd0UZhijNnXBrJOzL8wXq7Y5AU7sbq:V01:SHA256:48322c6ceb144d0a61c5863c334885d0f620630acdedc5fcf1ab0d45e983f882,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_CONTENT_COUNT_AND_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-033-V01,ING-033,pack,ING-033|INTERNAL-KELONTONG|Spt Sedotan|NO-SKU|pack 500 straws|V01,INTERNAL-KELONTONG,pcs,500,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1XQxWYLywKr2d_420myh6Asg1eACAL5Lx:V01:SHA256:6eddce80dd4712c3f7f50ac265c83c7d215a1980b3d86dc2f1ace81cd6cf4120,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_CONTENT_COUNT_AND_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-034-V01,ING-034,bag,ING-034|INTERNAL-KELONTONG|Spt Plastik|NO-SKU|bag 50 sheets|V01,INTERNAL-KELONTONG,pcs,50,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1HUeaime2QohkAzCZSULnTx7XWCHnzLDB:V01:SHA256:9866b4ad3a070501a09d6aeb468cf1a2afd2cc57843f9cd4e5f8404e94259a4e,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_CONTENT_COUNT_AND_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
